Question,Option 1,Option 2,Option 3,Option 4,Correct Option,Marks allocated,Difficulty Level
An algebraic expression containing three terms is called a,monomial,binomial,trinomial,all of these,3,1,Easy
Number of terms in the expression 3.x^2.y - 2.y^2.z - z^2.x + 5 is,2,3,4,5,3,1,Easy
The terms of expression 4.x^2 - 3.x.y are:,4.x^2 and -3.x.y,4.x^2 and 3.x.y,4.x^2 and -x.y,x^2 and x.y,1,1,Easy
Factors of -5.x^2.y^2.z are,-5.x.y.z,-5.x^2.y.z,-5.x.x.y.y.z,-5.x.y.z^2,3,1,Medium
Coefficient of x in -9.x.y^2.z is,9.y.z,-9.y.z,9.y^2.z,-9.y^2.z,4,1,Medium
The subtraction of 5 times of y from x is,5x - y,y - 5x,x - 5y,5y - x,3,1,Easy
The side length of the top of a square table is x. The expression for perimeter is:,4 + x,2x,4x,8x,3,1,Medium
The expression for the number of diagonals that we can make from one vertex of a n sided polygon is:,2n + 1,n - 2,5n + 2,n - 3,4,1,Hard
123.x^2.y - 138.x^2.y is a like term of,10.x.y,-15.x.y,-15.x.y^2,10.x^2.y,4,1,Hard
The value of 3.x^2 - 5.x + 3 when x = 1 is,1,0,-1,11,1,1,Easy
(2^20 ÷ 2^15) × 2^3 =,2^15,2^8,2^5,None of these,2,1,Hard
(5/6)^0 =,1,6/5,0,None of these,1,1,Easy
"(2^2)^n = (2^3)^4, then n = ",4,3,12,6,4,1,Medium
(-7/5)^-1 =,5/7,-5/7,7/5,None of these,2,1,Medium
81^5 ÷ (3^2)^5 =,3^10,3^2,3^5,None of these,1,1,Medium
(8^2 × 8^4) - 2^18 =,2^2,2^4,0,None of these,3,1,Hard
(3^7) ÷ (81 × 3^3) =,3,3^2,3^0,None of these,3,1,Hard
(1/4)^-3 - (1/3)^-3 =,37,1/37,-37,-1/37,1,1,Medium
(10 × 5^(n+1)+ 25 × 5^n) ÷ (3 × 5^(n+2)+ 10 × 5^(n+1)),3/5,1,0,5,1,1,Hard
(-1)^50 × (-1)^51 × (1)^100 × (-1)^101 =,-1,1,0,2,2,1,Easy
"Find the mode for the data set, which shows the heights( in inches ) of 10 students in a class: 60, 65, 63, 62, 65, 70, 62, 68, 60, 65",62,65,70,60,2,1,Hard